source,target
How much sleep should my toddler be getting each night?,මගේ දරුවා සෑම රාත්‍රියකම කොපමණ නින්දක් ලබා ගත යුතුද?
What foods are best for my toddler’s growth?,මගේ දරුවාගේ වර්ධනය සඳහා හොඳම ආහාර මොනවාද?
How do I know if my toddler is eating enough?,මගේ දරුවා ප්‍රමාණවත් තරම් ආහාර ගන්නවාදැයි මා දන්නේ කෙසේද?
How can I help my toddler transition from a crib to a bed?,මගේ දරුවාට තොටිල්ලක සිට ඇඳකට මාරු වීමට උදව් කරන්නේ කෙසේද?
How can I encourage my toddler to try new foods?,මගේ දරුවාට අලුත් කෑම වර්ග අත්හදා බලන්න මම දිරිමත් කරන්නේ කොහොමද?
What activities are good for my toddler's development?,මගේ දරුවාගේ වර්ධනයට හොඳ ක්‍රියාකාරකම් මොනවාද?
How much screen time is appropriate for a toddler?,පුංචි දරුවෙකුට සුදුසු තිර කාලය කොපමණද?
What should I do if my toddler refuses to take naps?,මගේ දරුවා නිදා ගැනීම ප්‍රතික්ෂේප කරන්නේ නම් මා කළ යුත්තේ කුමක්ද?
How do I deal with toddler tantrums in public?,ප්‍රසිද්ධියේ දරුවන්ගේ කෝපය සමඟ කටයුතු කරන්නේ කෙසේද?
How can I help my toddler develop social skills?,මගේ දරුවාට සමාජ කුසලතා වර්ධනය කර ගැනීමට උපකාර කරන්නේ කෙසේද?
What milestones should my toddler be reaching at this age?,මෙම වයසේදී මගේ දරුවා ළඟා විය යුතු සන්ධිස්ථාන මොනවාද?
How do I teach my toddler to share with others?,අන් අය සමඟ බෙදා ගැනීමට මම මගේ කුඩා දරුවාට උගන්වන්නේ කෙසේද?
How much sleep should my toddler be getting each night?,මගේ  දරුවා සෑම රාත්‍රියකම කොපමණ නින්දක් ලබා ගත යුතුද?
How many hours of sleep does my toddler need at night?,මගේ දරුවාට රාත්‍රියේදී පැය කීයක් නිදා ගැනීමට අවශ්‍යද?
What is the recommended amount of sleep for my toddler every night?,සෑම රාත්‍රියකම මගේ දරුවා සඳහා නිර්දේශිත නින්ද ප්‍රමාණය කොපමණද?
How long should my toddler sleep at night?,මගේ දරුවා රාත්‍රියේ කොපමණ කාලයක් නිදා ගත යුතුද?
What foods are best for my toddler’s growth?,මගේ දරුවාගේ වර්ධනය සඳහා හොඳම ආහාර මොනවාද?
Which foods will help my toddler grow well?,මගේ දරුවාට හොඳින් වැඩීමට උපකාර වන ආහාර මොනවාද?
What are some nutritious foods for my toddler’s development?,මගේ දරුවාගේ වර්ධනය සඳහා පෝෂ්‍යදායී ආහාර මොනවාද?
What kind of diet should I give my toddler for healthy growth?,සෞඛ්‍ය සම්පන්න වර්ධනයක් සඳහා මගේ දරුවාට දිය යුතු ආහාර මොනවාද?
How do I know if my toddler is eating enough?,මගේ දරුවා ප්‍රමාණවත් තරම් ආහාර ගන්නවාදැයි මා දන්නේ කෙසේද?
What are the signs that my toddler is getting enough food?,මගේ දරුවාට ප්‍රමාණවත් ආහාර ලැබෙන බවට සලකුණු මොනවාද?
How can I tell if my toddler is full after meals?,ආහාර ගැනීමෙන් පසු මගේ දරුවා පිරී ඇත්දැයි මා පවසන්නේ කෙසේද?
How do I ensure my toddler is not under-eating?,මගේ දරුවා අඩුවෙන් ආහාර ගන්නේද යන්න සහතික කර ගන්නේ කෙසේද?
When will my toddler be ready for toilet training?,මගේ කුඩා දරුවා වැසිකිළි පුහුණුව සඳහා සූදානම් වන්නේ කවදාද?
What should I do if my toddler only eats a few types of food?,මගේ දරුවා ආහාර වර්ග කිහිපයක් පමණක් අනුභව කරන්නේ නම් මා කළ යුත්තේ කුමක්ද?
How can I encourage my toddler to try new foods?,නව ආහාර අත්හදා බැලීමට මගේ දරුවා දිරිමත් කරන්නේ කෙසේද?
What can I do to get my toddler to eat different foods?,මගේ දරුවා විවිධ ආහාර අනුභව කිරීමට මා කළ යුත්තේ කුමක්ද?
What are some strategies for making my toddler try new dishes?,මගේ දරුවාට අලුත් කෑම වර්ග අත්හදා බැලීමට ඇති උපාය මාර්ග මොනවාද?
What can I do if my toddler struggles with separation?,මගේ  දරුවා වෙන්වීම සමඟ අරගල කරන්නේ නම් මා කුමක් කළ යුතුද?
How do I make goodbyes easier for my toddler?,මගේ කුඩා දරුවාට සමුගැනීම පහසු කරන්නේ කෙසේද?
What activities are good for my toddler's development?,මගේ දරුවාගේ සංවර්ධනය සඳහා හොඳ ක්‍රියාකාරකම් මොනවාද?
What are some fun activities that help my toddler learn?,මගේ දරුවාට ඉගෙන ගැනීමට උපකාර වන විනෝද ක්‍රියාකාරකම් මොනවාද?
What games or activities support my toddler’s growth?,මගේ දරුවාගේ වර්ධනයට උපකාර වන ක්‍රීඩා හෝ ක්‍රියාකාරකම් මොනවාද?
How can I keep my toddler entertained while helping them develop?,මගේ දරුවාට වර්ධනය  වීමට උපකාර කරන අතරේ මම ඔවුන්ට විනෝදාස්වාදය ලබා දෙන්නේ කෙසේද?
How much screen time is appropriate for a toddler?,කුඩා දරුවෙකු සඳහා කොපමණ තිර කාලය සුදුසුද?
What is a healthy amount of screen time for my toddler?,මගේ දරුවා සඳහා සෞඛ්‍ය සම්පන්න තිර කාලය කොපමණද?
How many hours of screen time should my toddler have?,මගේ දරුවාට පැය කීයක් තිර කාලය තිබිය යුතුද?
How do I manage screen time for my toddler?,මගේ දරුවා සඳහා තිර කාලය කළමනාකරණය කරන්නේ කෙසේද?
What should I do if my toddler refuses to take naps?,මගේ දරුවා නිදා ගැනීම ප්‍රතික්ෂේප කරන්නේ නම් මා කළ යුත්තේ කුමක්ද?
How do I handle my toddler when they don’t want to nap?,මගේ දරුවා නිදා ගැනීම ප්‍රතික්ෂේප කරන  විට මම ඔවුන් සමඟ කටයුතු කරන්නේ කෙසේද?
What can I do if my toddler skips naps?,මගේ දරුවාට  නින්ද නොගියහොත් මා කුමක් කළ යුතුද?
How do I encourage my toddler to nap during the day?,දිවා කාලයේ නිදා ගැනීම සඳහා මගේ දරුවා යොමු   කරන්නේ කෙසේද?
How do I deal with toddler tantrums in public?,ප්‍රසිද්ධියේ දරුවන්ගේ කෝපය සමඟ කටයුතු කරන්නේ කෙසේද?
What can I do if my toddler throws a tantrum in public places?,මගේ දරුවා ප්‍රසිද්ධ ස්ථානවල කෝපයක් ඇති කළහොත් මා කුමක් කළ යුතුද?
What’s the best way to calm my toddler during a public outburst?,මහජන කැළඹීමක් අතරතුර මගේ දරුවා සන්සුන් කිරීමට හොඳම ක්‍රමය කුමක්ද? 
How can I help my toddler develop social skills?,මගේ දරුවාට සමාජ කුසලතා වර්ධනය කර ගැනීමට උපකාර කරන්නේ කෙසේද?
What activities can improve my toddler's social skills?,මගේ දරුවාගේ සමාජ කුසලතා වැඩි දියුණු කළ හැකි ක්‍රියාකාරකම් මොනවාද?
How do I teach my toddler to interact with other children?,වෙනත් දරුවන් සමඟ කටයුතු කිරීමට මගේ දරුවාට උගන්වන්නේ කෙසේද?
How can I encourage my toddler to play with others?,අන් අය සමඟ සෙල්ලම් කිරීමට මගේ  දරුවා යොමු  කරන්නේ කෙසේද?
